TIMESTEP,SID1003MEAN(mm),SID1003MINIMUM(mm),SID1003MAXIMUM(mm),SID1003VARIANCE(mm^2),SID1003STD_DEV(mm),SID1003SUM,SID1003COUNT
1919-11-01T00:00:00Z,3.9127336,0,219.1,280.42038,16.745756,10038.188,10571
1919-12-01T00:00:00Z,53.693398,0,342.4,4218.9604,64.95352,10038.188,10571
1920-01-01T00:00:00Z,1.5831537,0,115.6,77.91757,8.827093,10038.188,10571
1920-02-01T00:00:00Z,0.0657758,0,42.100002,1.300461,1.1403776,10038.188,10571
1920-03-01T00:00:00Z,25.375765,0,325.5,2478.2974,49.7825,10038.188,10571
1920-04-01T00:00:00Z,5.190874,0,457.4,1158.483,34.036495,10038.188,10571
1920-05-01T00:00:00Z,0.4349736,0,433.6,117.39508,10.834901,10038.188,10571
1920-06-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1920-07-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1920-08-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1920-09-01T00:00:00Z,0.08774767,0,81.200005,5.0374556,2.2444277,10038.188,10571
1920-10-01T00:00:00Z,17.932835,0,306,1469.816,38.33818,10038.188,10571
1920-11-01T00:00:00Z,111.57052,0,479.30002,9769.508,98.84082,10038.188,10571
1920-12-01T00:00:00Z,208.62439,0,518.4,18153.197,134.73381,10038.188,10571
1921-01-01T00:00:00Z,105.64202,0,421.7,8850.968,94.07958,10038.188,10571
1921-02-01T00:00:00Z,117.52774,0,592,16315.686,127.73287,10038.188,10571
1921-03-01T00:00:00Z,28.788553,0,462.2,4772.926,69.086365,10038.188,10571
1921-04-01T00:00:00Z,5.0850353,0,461.6,1230.3462,35.07629,10038.188,10571
1921-05-01T00:00:00Z,3.4361491,0,846.3,1881.8186,43.379932,10038.188,10571
1921-06-01T00:00:00Z,0.00757988,0,48.3,0.25847474,0.5084041,10038.188,10571
1921-07-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1921-08-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1921-09-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1921-10-01T00:00:00Z,0.06700979,0,74.8,2.5277238,1.5898817,10038.188,10571
1921-11-01T00:00:00Z,137.07231,0,637.9,16570.39,128.72603,10038.188,10571
1921-12-01T00:00:00Z,5.9756484,0,125.8,280.35583,16.74383,10038.188,10571
1922-01-01T00:00:00Z,1.9561371,0,108.3,105.49672,10.271159,10038.188,10571
1922-02-01T00:00:00Z,83.57733,0,353.4,6571.479,81.06466,10038.188,10571
1922-03-01T00:00:00Z,205.69072,0,718.10004,29979.264,173.14522,10038.188,10571
1922-04-01T00:00:00Z,27.98222,0,500,6693.2646,81.81237,10038.188,10571
1922-05-01T00:00:00Z,13.665079,0,984.5,6560.604,80.99756,10038.188,10571
1922-06-01T00:00:00Z,0.10639095,0,225.40001,14.281299,3.7790606,10038.188,10571
1922-07-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1922-08-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1922-09-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1922-10-01T00:00:00Z,0.071703345,0,51.4,2.0824337,1.443064,10038.188,10571
1922-11-01T00:00:00Z,0.6374487,0,194.8,62.55169,7.9089622,10038.188,10571
1922-12-01T00:00:00Z,78.647644,0,279,5325.0645,72.97304,10038.188,10571
1923-01-01T00:00:00Z,43.679577,0,245.1,2898.074,53.833763,10038.188,10571
1923-02-01T00:00:00Z,0.13529284,0,60.100002,4.2999983,2.0736437,10038.188,10571
1923-03-01T00:00:00Z,2.7960033,0,232.6,286.45798,16.92507,10038.188,10571
